PTT-20260703-WA0027.opus | [KO] 수고했어 
PTT-20260711-WA0010.opus | [KO] 보고 싶어? 
PTT-20260711-WA0020.opus | [KO] 이체철 ly au 흐어 
PTT-20260712-WA0002.opus | [KO] 내생강하구이소 
PTT-20260713-WA0016.opus | [KO] 밥먹었어 
PTT-20260713-WA0023.opus | [KO] 자기야, 내가 원한 뇌, 뇌, 쟈냄, 뇌 바퀴 없어 
PTT-20260713-WA0025.opus | [KO] 노란 카치 구시포 
PTT-20260713-WA0026.opus | [KO] 졸린가 보네 
PTT-20260713-WA0043.opus | [KO] 노력은 웨이스활 영암 
PTT-20260714-WA0004.opus | [KO] 난 완전히猫야 
PTT-20260714-WA0005.opus | [KO] 나 완전히 내꺼야 
PTT-20260714-WA0009.opus | [KO] 안뇽,那 
PTT-20260717-WA0007.opus | [KO] 네 생각 하고 있소 I miss you 
PTT-20260718-WA0000.opus | [KO] Чáeo chae g1g1ak And I'll see you 
PTT-20260719-WA0014.opus | [KO] 약속 paz 우주 defeat 윙원회사 Renaqui 부인고 
PTT-20260719-WA0022.opus | [KO] 잘 지냈어? 
PTT-20260721-WA0003.opus | [KO] 자기야, 보고 싶어? 
PTT-20260721-WA0010.opus | [KO] 자기야 너무 귀여워 
PTT-20260724-WA0016.opus | [KO] 자기방 어치 로우 궁궁 하타 남대만 보여주면 남대? 
PTT-20260724-WA0023.opus | [KO] 우리 자기 기분 안 좋아? 어떻게 하면 기분 풀러져 수 있어? 
PTT-20260725-WA0020.opus | [KO] 
PTT-20260725-WA0021.opus | [KO] 
PTT-20260725-WA0052.opus | [KO] 자기야, 다이쁜 지문 난 했어. 
PTT-20260726-WA0016.opus | [KO] 고마워 
PTT-20260726-WA0024.opus | [KO] 보고 싶어 
PTT-20260726-WA0052.opus | [KO] 샤기야 내가 너 좋아해 
PTT-20260726-WA0059.opus | [KO] 청주 언니 
